,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,1721,4,True,"08 24, 2017",A2GWLCDWM7V59I,B0092UF54A,"{'Size:': ' 9 B(M) US', 'Color:': ' Pure Platinum/Blue Glow/Wolf Grey'}",Carol G,I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,Love these shoes,1503532800,,,wear many orthotics great fit color different style best found shoe one compliment accommodate receive walking
1,1249,3,True,"04 19, 2018",AOZHQ15OKY2ZT,B009MA34NY,"{'Size:': ' 9 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Fixalot,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",Its not as comfortable as I was expecting,1524096000,,,compare comfortable nike ok shoe hope expect pair shoe hold last
2,1606,5,True,"03 6, 2016",A12AWD9L3DD93E,B0092UF54A,"{'Size:': ' 6.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Customer,I recommend that!,Five Stars,1457222400,,,recommend
3,1764,5,True,"06 8, 2017",A9C9408H23DRM,B0092UF54A,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",Nena,Beautiful I love them comfy,Five Stars,1496880000,,,beautiful love comfy
4,2134,5,True,"06 8, 2017",A9C9408H23DRM,B005AGO4LU,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",Nena,Beautiful I love them comfy,Five Stars,1496880000,,,beautiful love comfy
5,1877,5,True,"12 12, 2016",A37OEAOYVLKYC,B0092UF54A,"{'Size:': ' 7.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Lisa (Hartford CT),"I actually have 3 pairs of these trainers.  They are very comfortable, there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes.  They run a little narrow - for me this is perfect, but you may want to round up on the size or try on in the store first if your feet are on the wider side.",Great,1481500800,3.0,,trainer compare sleeve neoprene foot side go store comfortable first around want size run shoe make little pairs round ankle narrow wider athletic actually perfect try may normal
6,1282,5,True,"02 21, 2018",A3E05IUHHCTRJC,B009MA34NY,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Sahar Mahboob,Exactly what I expected! Comfortable and chic,Comfortable and,1519171200,,,expect comfortable chic exactly
7,2225,5,True,"01 12, 2017",A34NDY5V71MVJ6,B005AGO4LU,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/Green Glow-blue Glow-white'}",Bpiq,"I love these!  I ordered an 8.5 which is my normal shoe size and they fit great.  I used them for my strength training class and they performed well, and they are sooooo pretty!  Comfortable, low profile and stylish!",LOVE!,1484179200,,,perform train low stylish sooooo use class fit great comfortable size order profile well strength love shoe normal pretty
8,2234,5,True,"01 1, 2017",A1LLX8PMQSAUHT,B005AGO4LU,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",teco,"fits perfect, my daughter loves them",Five Stars,1483228800,,,daughter love perfect fit
9,1697,5,True,"10 24, 2017",AJX8JEGB4Z8AI,B0092UF54A,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/Green Glow-blue Glow-white'}",Charla McDaniel,These were exactly what I expected.,Five Stars,1508803200,,,expect exactly
10,1190,3,True,"08 5, 2016",A2SF88GW3AWEFK,B0014F7B98,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Amazon Junkie,"I LOVE the look and comfort of these shoes for style and lifting weights. Super cute and flezable. BUT for running, absolutely not!! It might just be my pronation/supnation and these shoes just do not work for my personal stride. I run about 2-4 miles every few days. Average of 8 miles a week and then sprints twice a week on a treadmill. Just after running with these 3 times, I am having major back issues that I have never had before.  MY STATS and other shoes: I road and trail run. I run on my tip toes on the treadmill and a lot of heal on the road. I am 5'6 169lbs with more muscle than an average runner. Built more like a sprinter than a marathon runner. I LOVE Nike FLEX bottoms. They really give me support and flex needed. I have also used Asics and Puma.",Hurt my knees and back running,1470355200,2.0,,give treadmill sprint sprinter bottom work flex stats like pronation/supnation average week comfort might time cute tip asics weight marathon shoe runner flezable really toe love lot need back heal muscle twice use day stride super major nike lift mile issue also road never trail build run style look run puma every personal absolutely support
