,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,0,5,True,"11 9, 2012",A2M1CU2IRZG0K9,0005089549,{'Format:': ' VHS Tape'},Terri,"So sorry I didn't purchase this years ago when it first came out!!  This is very good and entertaining!  We absolutely loved it and anticipate seeing it repeatedly.  We actually wore out the cassette years back, so we also purchased this same product on cd.  Best purchase we made out of all!  Would purchase on dvd if we could find one.",Amazing!,1352419200,,,anticipate year wore good repeatedly find first best dvd come loved purchase purchase would entertain sorry could one cd ago also actually product see back absolutely make cassette
1,1,5,True,"12 30, 2011",AFTUJYISOFHY6,0005089549,{'Format:': ' VHS Tape'},Melissa D. Abercrombie,Believe me when I tell you that you will receive a blessing watching this video of the Cathedral Quartet.  They bring back most of the singers that were ever in their group and it is a really great VHS.,Great Gospel VHS of the Cathedrals!,1325203200,,,group bless video believe quartet watch bring great vhs ever singer really cathedral receive tell back
2,2,5,True,"04 21, 2005",A3JVF9Y53BEOGC,000503860X,{'Format:': ' DVD'},Anthony Thompson,"I have seen X live many times, both in the early days and their more recent reunion shows. Trust me when I say this: they never disappoint as a live band! This DVD document of a show on their home turf of LA is a dream come true. Can't wait.",A great document of a great band,1114041600,11.0,,can't recent live many home wait show never day turf band trust dvd early disappoint la dream true see come say show document reunion time
3,3,5,True,"04 6, 2005",A12VPEOEZS1KTC,000503860X,{'Format:': ' DVD'},JadeRain,"I was so excited for this!  Finally, a live concert video from X!  I've seen them twice, both times with Tony G. on guitar (he was superb by the way).  But we all know you HAVE to have Billy Zoom in the band. I haven't been able to see them, but this DVD will do the trick.  This DVD is AMAZING!! One listen/viewing makes me instantly forget all the ""power pop"" ""punk"" bands that are around now.  Their sound is fantastic, full, fast, heavy, thrilling!  All the members sound excellent, period.  I'm hopeful that there will be a tour, come on X!  Us old fogeys would like to see you old fogeys play your beautiful music for us!! UPDATE:  I've been so lucky to catch X a couple of times with Billy on guitar since I wrote this, it was just incredible seeing them, this DVD does give an accurate view of what it is like to have X RIPPING it up in concert!  cheers.",YES!!  X LIVE!!,1112745600,5.0,,know give member thrill power rip pop view i've way excite like come time billy lucky video tony amaze dvd hopeful music tour catch see one instantly play beautiful live able twice couple accurate update full band would fantastic write trick finally see period band fast fogeys listen/viewing guitar sound incredible zoom superb i'm around since forget concert old excellent punk make heavy see cheer
4,4,5,True,"12 3, 2010",ATLZNVLYKP9AZ,000503860X,{'Format:': ' DVD'},T. Fisher,"X is one of the best punk bands ever. I don't even like calling them a punk band, but that's what they call themselves so I guess it's OK. This is musically complex punk with a lot of influences and a lot of tight playing and gripping tunes.  This is an awesome concert. The only two problems are that 1) it is just 67 minutes long and 2) John Doe's bass is buried too deep in the mix.  Every X fan should get this. More importantly, anyone who doesn't know about X should get this.  Why X? Did you know, for example, that: - X has a different sound based on the unique harmonies between co-lead singers Exene Cervenka and John Doe that really sets them apart from anything else out there? - Doe, Cervenka and drummer DJ Bonebrake also play in the country punk band The Knitters? - Billy Zoom, the guitarist who originally formed the band, used to play rockabilly guitar for Gene Vincent and other big stars, and has been voted one of the greatest guitar players ever by Guitar Player magazine? - X were playing Leadbelly tunes way before Kurt Cobain? - Ray Manzarek, keyboard player of The Doors, produced X's first four albums? This is one of the big reasons why the band covered and generally closed its concerts with ""Soul Kitchen"" from the album&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Doors/dp/B000MCIBE8/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Doors</a> - Cervenka and Doe used to be married, before Exene later married Viggo Mortensen -- Aragorn from the Lord of the Rings movies? - Billy Zoom left the band from the mid-1980s to the mid-1990s, but during this time the band still managed to record&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/X-Live-at-the-Whisky-a-Go-Go/dp/B000005IRW/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">X Live at the Whisky a Go-Go</a>, one of the greatest live rock albums ever, with guitarist Tony Gilkyson?  As this DVD proves, X is still as good as ever. Billy Zoom still plays standing in his trademark splayed-leg stance with a broad grin on his face. Did I say he is awesome? Awesome.  I waited way too long before getting this one, thinking I could do without an X DVD. And I could have. But why should I? This really is worth it, and I'm sure I'll be putting this one in the player more often than a lot of my other music DVDs. Really, really good.",X have still got it,1291334400,5.0,,"know player think harmony soul vote manage doe's waited i'll importantly keyboard album&nbsp;<a rock complex country way like bonebrake ever stand doe ring player john generally influence could four co-lead manzarek guess gene kurt ray apart billy dj problem tight get closed concert tony anyone bury reason big sure cover unique different later minute dvd bass movie call magazine deep long singer leave music ok mortensen play star great really tunes set that's prove one play record&nbsp;<a face lot viggo broad guitarist cervenka live drummer good use worth grip grin kitchen first aragorn band time form produce call leadbelly cobain married vincent dvd also fan rockabilly still stance even data-hook=""product-link-linked band musically else splayed-leg class=""a-link-normal mix gilkyson guitar sound put zoom album doors</a play door i'm exene best whisky two awesome go-go</a often concert trademark without punk x's originally knitters lord base example say get every anything"
5,5,5,True,"10 17, 2007",A3TNYNA2360NPA,000503860X,{'Format:': ' DVD'},Stanley  C. Sargent,"I've loved X since I first saw them here in San Francisco with, I believe, Devo and Romeo Void.  Romeo Void was a disaster due to the tiny outfit Deborah squeezed her huge body into; the audience couldn't stand to look at her even when the music was good. Devo was quite good. Then X came on stage and it was like hearing a great music system play compared to a tinny radio's sound. Man, they were great and they, unlike 99% of the other ""new wave/punk"" bands of the era were pros.  They had it down and played it up. I loved them! Watching this excellent reunion video (yes, Billy Zoom still has that same perpetual, inane smile on his face while playing), I was surprised to see very much the same show I saw all those years ago, with some extra songs that came out later, that is. The band's still electrifying. I'd like to see them ""live"" again, but until then, this video is the next best thing. It's well filmed and has a great selection of their best songs. Sure, they aren't as ""pretty"" as they used to be, but before you say too much, check your rearview mirror to see how you look now compared to 20 some odd years ago. Then, once humbled, go buy this CD. You will love it!",A Revival to match the early shows by a great band,1192579200,,,surprised play much i've quite like come love extra song wave/punk next billy perpetual video pro mirror thing due hearing i'd rearview sure great radio's deborah later music unlike huge inane stage humble romeo play san face love new outfit odd compare squeezed yes live believe good use smile first band francisco check buy disaster ago cd tinny still reunion even see audience year man sound void zoom watch play since saw best band's electrify look system excellent body film tiny go devo well say show selection era pretty stand
6,6,5,True,"11 8, 2005",A2LUL6PRTXE7SE,000503860X,{'Format:': ' DVD'},PSM/Bokor,"I must admit I was hesitant to purchase this DVD. A classic punk band performing twenty plus years later, what could one expect? Apparently, one can expect a hell of a lot. These guys and gal can still tear their songs apart.  It's well filmed; there isn't that MTV, rapid editing that can cause seizures. The audio is excellent; you can actually understand the lyrics. It's well mixed. It's far superior to a lot of live performance DVD's currently released by some bands. X released a product that is worthy of ones money.  If you like X; you'll love this DVD. If you just appreciate a good rock/punk concert, you won't be disappointed.",Old punks still rule...,1131408000,17.0,,mixed lyric admit apparently hell performance like understand could songs worthy actually guys product one apart twenty expect disappoint hesitant later edit dvd must money superior rock/punk one love lot perform currently audio far live mtv gal good seizure band purchase dvd's rapid still band year release plus appreciate classic concert excellent punk film cause tear well
7,7,5,True,"04 12, 2016",A2CFV9UPFTTM10,0005419263,{'Format:': ' Audio CD'},SuzieQ,The little ones love this,Love it,1460419200,,,love little one
8,8,3,True,"07 28, 2014",A3139J3877Y61F,0005419263,{'Format:': ' Audio CD'},SingingButterfly,Good songs. The DVD is a little boring.,Three Stars,1406505600,,,boring little good dvd song
9,9,5,True,"12 21, 2010",A2PANT8U0OJNT4,0005419263,{'Format:': ' DVD'},Cutegirlmomma,The DVD came in great condition and provided lots of entertaining minutes of reliving the past.  Definitely worth the money.,Blast from the past,1292889600,,,definitely relive great past condition minute entertain dvd provide money worth lot come
